membership_id,user_id,race_seq,race_id,points_total,breakdown_json
"404ddd3b-7c2d-4d1a-8a0c-b65647314581","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"acf3f1a3-b162-45dd-b9a3-9d550999cec3","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","7","{""place"":[7]}"
"4c9818e7-5ef8-475b-9cbd-d8732faf43d3","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"4ab02b52-4738-42fc-bbd6-f693d956e2cd","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","7","{""place"":[7]}"
"d6a944da-31d2-4536-b387-bcb65499b4ec","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"eea30450-2214-42c6-a02c-305e4f4ccebe","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"a080f2c7-6169-4aa6-97f7-ef1f73913da3","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"3105abf2-34ff-4f9c-8e08-9a61107b342d","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","7","{""place"":[7]}"
"78bab82e-ad1e-419a-88af-cefcb038db4d","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","7","{""place"":[7]}"
"0d092c0f-0434-4981-a4eb-1734f590030c","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"0beebaa8-cc08-4bc9-a891-12e92b9c33f9","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"31196ca0-f040-48c0-9dc8-517bc0362ff8","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"1c12f077-9445-4c1f-8e21-b0e678f5ec9b","","3","29a8551f-8094-442b-b0b8-a2417b2bcfd9","0","{""place"":[0]}"
"85c12ba4-5662-4c7a-bf3d-89ad412dffd7","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"eea30450-2214-42c6-a02c-305e4f4ccebe","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","0","{""place"":[0]}"
"a080f2c7-6169-4aa6-97f7-ef1f73913da3","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","0","{""place"":[0]}"
"3105abf2-34ff-4f9c-8e08-9a61107b342d","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"78bab82e-ad1e-419a-88af-cefcb038db4d","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","2","{""place"":[2]}"
"0d092c0f-0434-4981-a4eb-1734f590030c","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"8f5b17c7-538d-4f32-930f-822ed2a4a644","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","4","{""place"":[4]}"
"ba31a223-47a8-4122-b142-3d177ee4f166","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","4","{""place"":[4]}"
"de61b26a-b9fe-4812-aa32-868971eeaaed","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"404ddd3b-7c2d-4d1a-8a0c-b65647314581","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","4","{""place"":[4]}"
"acf3f1a3-b162-45dd-b9a3-9d550999cec3","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"4c9818e7-5ef8-475b-9cbd-d8732faf43d3","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","0","{""place"":[0]}"
"4ab02b52-4738-42fc-bbd6-f693d956e2cd","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","0","{""place"":[0]}"
"d6a944da-31d2-4536-b387-bcb65499b4ec","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"31196ca0-f040-48c0-9dc8-517bc0362ff8","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","0","{""place"":[0]}"
"1c12f077-9445-4c1f-8e21-b0e678f5ec9b","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","7","{""place"":[7]}"
"0beebaa8-cc08-4bc9-a891-12e92b9c33f9","","4","78b56b23-3702-4171-8a30-b844a5ab25c7","2","{""place"":[2]}"
"d6a944da-31d2-4536-b387-bcb65499b4ec","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","13","{""place"":[13]}"
"85c12ba4-5662-4c7a-bf3d-89ad412dffd7","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"ba31a223-47a8-4122-b142-3d177ee4f166","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"de61b26a-b9fe-4812-aa32-868971eeaaed","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"404ddd3b-7c2d-4d1a-8a0c-b65647314581","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"acf3f1a3-b162-45dd-b9a3-9d550999cec3","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"4c9818e7-5ef8-475b-9cbd-d8732faf43d3","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"4ab02b52-4738-42fc-bbd6-f693d956e2cd","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"eea30450-2214-42c6-a02c-305e4f4ccebe","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","13","{""place"":[13]}"
"a080f2c7-6169-4aa6-97f7-ef1f73913da3","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"3105abf2-34ff-4f9c-8e08-9a61107b342d","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"78bab82e-ad1e-419a-88af-cefcb038db4d","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
"0d092c0f-0434-4981-a4eb-1734f590030c","","5","2c89b84c-ad63-4e6f-bd9c-3ed02013c68d","0","{""place"":[0]}"
